poll_id,ags,municipality_name,metric,kommone_value,statla_value,delta
2,08111000,Stuttgart-Landeshauptstadt,reported_precincts,,,
2,08111000,Stuttgart-Landeshauptstadt,total_precincts,,,
2,08111000,Stuttgart-Landeshauptstadt,voters_total,,,
2,08111000,Stuttgart-Landeshauptstadt,valid_votes,,,
2,08115001,Aidlingen,reported_precincts,,2,
2,08115001,Aidlingen,total_precincts,,8,
2,08115001,Aidlingen,voters_total,1338,822,516.0
2,08115001,Aidlingen,valid_votes,1325,819,506.0
2,08115002,Altdorf,reported_precincts,,1,
2,08115002,Altdorf,total_precincts,,4,
2,08115002,Altdorf,voters_total,1111,558,553.0
2,08115002,Altdorf,valid_votes,1106,556,550.0
2,08115003,"Böblingen, Stadt",reported_precincts,,20,
2,08115003,"Böblingen, Stadt",total_precincts,,56,
2,08115003,"Böblingen, Stadt",voters_total,7728,5924,1804.0
2,08115003,"Böblingen, Stadt",valid_votes,7665,5890,1775.0
2,08115004,Bondorf,reported_precincts,,0,
2,08115004,Bondorf,total_precincts,,4,
2,08115004,Bondorf,voters_total,0,0,0.0
2,08115004,Bondorf,valid_votes,0,0,0.0
2,08115010,Deckenpfronn,reported_precincts,,0,
2,08115010,Deckenpfronn,total_precincts,,3,
2,08115010,Deckenpfronn,voters_total,0,0,0.0
2,08115010,Deckenpfronn,valid_votes,0,0,0.0
2,08115013,Ehningen,reported_precincts,,0,
2,08115013,Ehningen,total_precincts,,7,
2,08115013,Ehningen,voters_total,0,0,0.0
2,08115013,Ehningen,valid_votes,0,0,0.0
2,08115015,Gärtringen,reported_precincts,,2,
2,08115015,Gärtringen,total_precincts,,12,
2,08115015,Gärtringen,voters_total,1545,985,560.0
2,08115015,Gärtringen,valid_votes,1538,981,557.0
2,08115016,Gäufelden,reported_precincts,,2,
2,08115016,Gäufelden,total_precincts,,10,
2,08115016,Gäufelden,voters_total,1135,815,320.0
2,08115016,Gäufelden,valid_votes,1126,811,315.0
2,08115021,"Herrenberg, Stadt",reported_precincts,,6,
2,08115021,"Herrenberg, Stadt",total_precincts,,39,
2,08115021,"Herrenberg, Stadt",voters_total,3856,1987,1869.0
2,08115021,"Herrenberg, Stadt",valid_votes,3832,1980,1852.0
2,08115022,Hildrizhausen,reported_precincts,,2,
2,08115022,Hildrizhausen,total_precincts,,4,
2,08115022,Hildrizhausen,voters_total,964,964,0.0
2,08115022,Hildrizhausen,valid_votes,995,959,36.0
2,08115024,"Holzgerlingen, Stadt",reported_precincts,,1,
2,08115024,"Holzgerlingen, Stadt",total_precincts,,10,
2,08115024,"Holzgerlingen, Stadt",voters_total,654,654,0.0
2,08115024,"Holzgerlingen, Stadt",valid_votes,995,651,344.0
2,08115028,"Leonberg, Stadt",reported_precincts,,6,
2,08115028,"Leonberg, Stadt",total_precincts,,41,
2,08115028,"Leonberg, Stadt",voters_total,2603,1871,732.0
2,08115028,"Leonberg, Stadt",valid_votes,2589,1869,720.0
2,08115029,Magstadt,reported_precincts,,0,
2,08115029,Magstadt,total_precincts,,6,
2,08115029,Magstadt,voters_total,0,0,0.0
2,08115029,Magstadt,valid_votes,0,0,0.0
2,08115034,Mötzingen,reported_precincts,,0,
2,08115034,Mötzingen,total_precincts,,2,
2,08115034,Mötzingen,voters_total,0,0,0.0
2,08115034,Mötzingen,valid_votes,0,0,0.0
2,08115037,Nufringen,reported_precincts,,0,
2,08115037,Nufringen,total_precincts,,4,
2,08115037,Nufringen,voters_total,0,0,0.0
2,08115037,Nufringen,valid_votes,0,0,0.0
2,08115041,"Renningen, Stadt",reported_precincts,,4,
2,08115041,"Renningen, Stadt",total_precincts,,14,
2,08115041,"Renningen, Stadt",voters_total,3733,2508,1225.0
2,08115041,"Renningen, Stadt",valid_votes,3706,2500,1206.0
2,08115042,"Rutesheim, Stadt",reported_precincts,,9,
2,08115042,"Rutesheim, Stadt",total_precincts,,11,
2,08115042,"Rutesheim, Stadt",voters_total,5127,4600,527.0
2,08115042,"Rutesheim, Stadt",valid_votes,5097,4584,513.0
2,08115044,Schönaich,reported_precincts,,0,
2,08115044,Schönaich,total_precincts,,10,
2,08115044,Schönaich,voters_total,0,0,0.0
2,08115044,Schönaich,valid_votes,0,0,0.0
2,08115045,"Sindelfingen, Stadt",reported_precincts,,14,
2,08115045,"Sindelfingen, Stadt",total_precincts,,63,
2,08115045,"Sindelfingen, Stadt",voters_total,6539,4444,2095.0
2,08115045,"Sindelfingen, Stadt",valid_votes,6487,4428,2059.0
2,08115046,Steinenbronn,reported_precincts,,0,
2,08115046,Steinenbronn,total_precincts,,4,
2,08115046,Steinenbronn,voters_total,0,0,0.0
2,08115046,Steinenbronn,valid_votes,0,0,0.0
2,08115048,"Waldenbuch, Stadt",reported_precincts,,0,
2,08115048,"Waldenbuch, Stadt",total_precincts,,6,
2,08115048,"Waldenbuch, Stadt",voters_total,0,0,0.0
2,08115048,"Waldenbuch, Stadt",valid_votes,0,0,0.0
2,08115050,"Weil der Stadt, Stadt",reported_precincts,,2,
2,08115050,"Weil der Stadt, Stadt",total_precincts,,23,
2,08115050,"Weil der Stadt, Stadt",voters_total,1041,679,362.0
2,08115050,"Weil der Stadt, Stadt",valid_votes,1033,677,356.0
2,08115051,Weil im Schönbuch,reported_precincts,,1,
2,08115051,Weil im Schönbuch,total_precincts,,7,
2,08115051,Weil im Schönbuch,voters_total,476,442,34.0
2,08115051,Weil im Schönbuch,valid_votes,991,438,553.0
