row_key,ags,municipality_name,gebietsart,gebietsnummer,reported_precincts,total_precincts,voters_total,valid_votes_erst,valid_votes_zweit,payload_hash,is_municipality_summary
000000:BW:-:-:LAND,,,LAND,BW,10643,11570,4862389,4819562,4833754,4414ae267bcba1c95ba8dff9882e8145195ba52152838b0bdd6077b9caad8070,False
000001:1:-:08111000:WAHLKREIS,08111000,"Stuttgart, Landeshauptstadt",WAHLKREIS,1,128,146,63217,62939,63103,3b2a7a6e185240504c5cc171b43810622b68a64ab1df50e44eff44e7f0be0265,False
000002:001-01 (08111000-001-01):001-01:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-01 (08111000-001-01),1,1,210,210,210,687317af49b7bdba0bd0bcbbf39f9921dea5501907f0e8da0c3bbf5326ffd214,False
000003:001-02 (08111000-001-02):001-02:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-02 (08111000-001-02),0,1,0,0,0,cf524391037ef6de004bdade4634b2075385089158a43f2658c24e70953b722e,False
000004:001-03 (08111000-001-03):001-03:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-03 (08111000-001-03),1,1,595,595,594,a5572b75c67efa17cbb6637816c6dacc93ea675114537bed181afa7dfce9389f,False
000005:001-04 (08111000-001-04):001-04:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-04 (08111000-001-04),1,1,544,543,544,62788872804d52bce3a5749a022a360c5a70a61d6633e519b575f7ec848f92ae,False
000006:001-05 (08111000-001-05):001-05:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-05 (08111000-001-05),1,1,612,610,612,eaff04883dd3541f60dadc4d9fc23ebac75acfbfef313c22872d5fa8a7e11195,False
000007:001-06 (08111000-001-06):001-06:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-06 (08111000-001-06),1,1,579,575,578,01a355fc7db21ce8b8132eff7082e6572b961e8d3aafb53ca926b58c7a057264,False
000008:001-07 (08111000-001-07):001-07:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-07 (08111000-001-07),1,1,572,571,571,62308458d9e36dfa8ac4fb63e9a0c4902bf59f09652dadd2d64b6a7f67105026,False
000009:001-08 (08111000-001-08):001-08:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-08 (08111000-001-08),1,1,537,536,537,e81ebd8a556aeef0233651c5afe1779109fe5f32284fa24a45297f4542008c3d,False
000010:001-09 (08111000-001-09):001-09:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-09 (08111000-001-09),1,1,335,331,333,f1c97ddb26aea12b98388d6d9774ea3ea9f260d1c9b2c977e56ccf2925629d8b,False
000011:001-10 (08111000-001-10):001-10:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-10 (08111000-001-10),1,1,455,451,454,d4f814705369cce52f73d8fa4799e0674a17e8427e229eca1ade91f411722330,False
000012:001-51 (08111000-001-51):001-51:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,001-51 (08111000-001-51),1,1,247,247,247,cb4e68f3d53a59b5e3b801ff8fcb46d6dced15fb2eb6eea2e96711470e20b093,False
000013:001-52 (08111000-001-52):001-52:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,001-52 (08111000-001-52),1,1,424,422,423,380d23ad2a702cdc22c64af076aac59a4f7f6a14d5006e4e7de438f832166cab,False
000014:001-53 (08111000-001-53):001-53:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,001-53 (08111000-001-53),1,1,487,485,486,17d9a2758de2cf53a91278586262c81f49e16de0c1f1aa5f87b47ecaaaedb107,False
000015:001-54 (08111000-001-54):001-54:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,001-54 (08111000-001-54),1,1,568,564,568,8a4e967de80fdeb8ea406ba877423842de70378a08fb631478121cb421fc0675,False
000016:001-55 (08111000-001-55):001-55:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,001-55 (08111000-001-55),1,1,585,583,585,83c2933956a9bce90f97a7e8e8b1ed0e1dd138cf7df378a2c17182f2eec50b65,False
000017:001-56 (08111000-001-56):001-56:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,001-56 (08111000-001-56),1,1,503,503,503,e70189aa8347b4b2963e9415382cbd1e0e0f116489456577040fbadd8c36be2c,False
000018:001-57 (08111000-001-57):001-57:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,001-57 (08111000-001-57),1,1,461,459,461,1de785d839adf3aead33478b5b90f755e4d8853d7955d53c3cfb87429d4f4c25,False
000019:001-58 (08111000-001-58):001-58:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,001-58 (08111000-001-58),1,1,507,506,507,60a8d98d6f29e96a166039d4920bbfc08ce9ed05174a75010fe0509ce206cff1,False
000020:001-59 (08111000-001-59):001-59:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,001-59 (08111000-001-59),1,1,266,263,264,489a3f8f534ac3cfec87d70795d8c9091b9adea2859e4ebbfa7bec6de1281260,False
000021:001-60 (08111000-001-60):001-60:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,001-60 (08111000-001-60),1,1,390,386,388,f3ecd855aca8655dc47d138e68bebac00327b03eea07baa6bdf507f7e273b9f5,False
000022:001-91 (08111000-001-91):001-91:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,001-91 (08111000-001-91),1,1,268,268,268,05c0d7f231b54cbc26b20c184649c9afcd61d9a3caee931a4b32e0242076d999,False
000023:002-01 (08111000-002-01):002-01:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,002-01 (08111000-002-01),0,1,0,0,0,1850b16c38cd8fdd260a30e678b3eb163d5e130d7bb7fd054ec96279892444f9,False
000024:002-02 (08111000-002-02):002-02:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,002-02 (08111000-002-02),1,1,448,443,447,8d016ee52c1f33db935ef9ce17342da9e36ebc761e737a1c1ff260bf3820e75d,False
000025:002-03 (08111000-002-03):002-03:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,002-03 (08111000-002-03),1,1,530,530,529,5bae0ad102df6bbacc58b5bc5581cae76054de811158b9fcaebb26a92f85fdc0,False
000026:002-04 (08111000-002-04):002-04:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,002-04 (08111000-002-04),1,1,435,430,429,692c9da970d6fda099bc02c713624a9ac97f98ebba32385c557953a89905b32b,False
000027:002-05 (08111000-002-05):002-05:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,002-05 (08111000-002-05),1,1,543,541,543,97d1480a8fb8bc478a29c92fdeffb2f05c3260b1bb2e012cd6ed890a6e4f79c1,False
000028:002-06 (08111000-002-06):002-06:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,002-06 (08111000-002-06),1,1,650,645,650,4b552c9a5e0a0a248e02b484bffb3e0750898414921deff9766d47c2568081e6,False
000029:002-07 (08111000-002-07):002-07:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,002-07 (08111000-002-07),0,1,0,0,0,e82622933b3862c4831e1aa4dd666ea17ff8bbe353af727c5a94015d3297a642,False
000030:002-08 (08111000-002-08):002-08:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,002-08 (08111000-002-08),1,1,561,558,560,968627a710944167970eee20fa4cb4bde1828bcd6083a73c421159711d27f5ff,False
000031:002-09 (08111000-002-09):002-09:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,002-09 (08111000-002-09),1,1,599,595,596,971585e69b4ae28a678d1a65d1830ae34fa107592f40c1d6486b7a72fc2b987e,False
000032:002-10 (08111000-002-10):002-10:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,002-10 (08111000-002-10),1,1,572,563,568,ad68164875e8557fe1aa57486b6b4e96b092645afca1fe2b5d9103b31b7324ee,False
000033:002-11 (08111000-002-11):002-11:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,002-11 (08111000-002-11),1,1,612,608,612,93055291b82baf8884458d2b16c62051cf7a54e5bb7c06e2c3c267978c0146df,False
000034:002-12 (08111000-002-12):002-12:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,002-12 (08111000-002-12),1,1,347,341,345,cbcee1af7a6627319e85a4b16aab03dbc852c7d353c34a58c217745fd9412da7,False
000035:002-51 (08111000-002-51):002-51:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,002-51 (08111000-002-51),1,1,592,592,592,3f673b9a860dee141009f6220b30979ff86dfaac475e5c44a6d1f12fd5cd8dd0,False
000036:002-52 (08111000-002-52):002-52:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,002-52 (08111000-002-52),1,1,240,240,240,0c6ed0b1d955ebb40e74aba65ca47687d5f4795e079dd18ee6303a77bbda373f,False
000037:002-53 (08111000-002-53):002-53:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,002-53 (08111000-002-53),0,1,0,0,0,8e7da790ad83269c49084d2634d102c51ddd58280ce447283db189583353d8a5,False
000038:002-54 (08111000-002-54):002-54:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,002-54 (08111000-002-54),1,1,345,342,345,565dfa952f65cf926a16e1acc5695709acd94fff706f1afd29a58316767f3e6c,False
